frame.time_epoch,ip.src,ip.dst,_ws.col.protocol,frame.len
1100903354.159269000,10.1.1.101,10.1.1.1,TCP,62
1100903354.159920000,10.1.1.1,10.1.1.101,TCP,62
1100903354.159966000,10.1.1.101,10.1.1.1,TCP,54
1100903354.172938000,10.1.1.101,10.1.1.1,HTTP,530
1100903354.173999000,10.1.1.1,10.1.1.101,TCP,60
1100903354.191558000,10.1.1.1,10.1.1.101,HTTP,489
1100903354.191615000,10.1.1.1,10.1.1.101,TCP,60
1100903354.191676000,10.1.1.101,10.1.1.1,TCP,54
1100903354.281052000,10.1.1.101,209.225.11.237,TCP,62
1100903354.295571000,10.1.1.101,10.1.1.1,TCP,54
1100903354.296049000,10.1.1.1,10.1.1.101,TCP,60
1100903354.523524000,209.225.11.237,10.1.1.101,TCP,62
1100903354.523591000,10.1.1.101,209.225.11.237,TCP,54
1100903354.524089000,10.1.1.101,209.225.11.237,TCP,614
1100903354.809131000,209.225.11.237,10.1.1.101,TCP,60
1100903354.809218000,10.1.1.101,209.225.11.237,HTTP,487
1100903355.083484000,209.225.11.237,10.1.1.101,TCP,60
1100903355.113119000,209.225.11.237,10.1.1.101,IPv4,770
1100903355.113909000,209.225.11.237,10.1.1.101,HTTP,60
1100903355.113948000,10.1.1.101,209.225.11.237,TCP,54
1100903355.137322000,209.225.11.237,10.1.1.101,TCP,1273
1100903355.137389000,10.1.1.101,209.225.11.237,TCP,54
1100903355.358103000,10.1.1.101,209.225.11.237,TCP,54
1100903355.358686000,10.1.1.101,209.225.0.6,TCP,62
1100903355.359027000,10.1.1.101,209.225.0.6,TCP,62
1100903355.385198000,10.1.1.101,209.225.0.6,TCP,62
1100903355.421571000,10.1.1.101,209.225.0.6,TCP,62
1100903355.434544000,10.1.1.101,10.1.1.1,TCP,62
1100903355.435025000,10.1.1.1,10.1.1.101,TCP,62
1100903355.435072000,10.1.1.101,10.1.1.1,TCP,54
1100903355.443254000,10.1.1.101,10.1.1.1,HTTP,628
1100903355.444461000,10.1.1.1,10.1.1.101,TCP,60
1100903355.447676000,10.1.1.1,10.1.1.101,TCP,1514
1100903355.448932000,10.1.1.1,10.1.1.101,TCP,1514
1100903355.448997000,10.1.1.101,10.1.1.1,TCP,54
1100903355.451401000,10.1.1.1,10.1.1.101,TCP,1514
1100903355.451528000,10.1.1.101,10.1.1.1,TCP,54
1100903355.451636000,10.1.1.1,10.1.1.101,HTTP,275
1100903355.451705000,10.1.1.101,10.1.1.1,TCP,54
1100903355.538753000,10.1.1.101,10.1.1.1,TCP,62
1100903355.539196000,10.1.1.1,10.1.1.101,TCP,62
1100903355.539239000,10.1.1.101,10.1.1.1,TCP,54
1100903355.540692000,10.1.1.101,10.1.1.1,TCP,62
1100903355.541134000,10.1.1.1,10.1.1.101,TCP,62
1100903355.541179000,10.1.1.101,10.1.1.1,TCP,54
1100903355.561903000,10.1.1.101,10.1.1.1,TCP,54
1100903355.562335000,10.1.1.1,10.1.1.101,TCP,60
1100903355.562952000,10.1.1.101,10.1.1.1,HTTP,651
1100903355.564154000,10.1.1.1,10.1.1.101,TCP,60
1100903355.564207000,10.1.1.101,10.1.1.1,HTTP,654
1100903355.565435000,10.1.1.1,10.1.1.101,TCP,60
1100903355.567567000,10.1.1.1,10.1.1.101,TCP,1514
1100903355.568809000,10.1.1.1,10.1.1.101,TCP,1514
1100903355.568876000,10.1.1.101,10.1.1.1,TCP,54
1100903355.570729000,10.1.1.1,10.1.1.101,TCP,1514
1100903355.571979000,10.1.1.1,10.1.1.101,TCP,1514
1100903355.572081000,10.1.1.101,10.1.1.1,TCP,54
1100903355.573238000,10.1.1.1,10.1.1.101,TCP,1514
1100903355.574543000,10.1.1.1,10.1.1.101,TCP,1514
1100903355.574603000,10.1.1.101,10.1.1.1,TCP,54
1100903355.575629000,10.1.1.1,10.1.1.101,HTTP,1320
1100903355.575713000,10.1.1.101,10.1.1.1,TCP,54
1100903355.576959000,10.1.1.1,10.1.1.101,TCP,1514
1100903355.577050000,10.1.1.101,10.1.1.1,TCP,54
